﻿번호,카테고리,서비스유형,프로그램명,설명,소요시간,소요시간(분),가격,가격(원),테라피스트포인트,활성화,지점
1,IM 결라인,주 프로그램,성형전 결케어 (IM 브리즈),,50분,50,66000,"₩66,000",0,Y,전체
2,IM 결라인,주 프로그램,보습 결케어,,50분,50,66000,"₩66,000",0,Y,전체
3,IM 결라인,주 프로그램,성형후 결케어 (IM 리커버),,50분,50,66000,"₩66,000",0,Y,전체
4,IM 결라인,주 프로그램,진정 결케어,,1시간,60,88000,"₩88,000",0,Y,전체
5,IM 결라인,주 프로그램,톤업 결케어,,1시간,60,88000,"₩88,000",0,Y,전체
6,IM 결라인,주 프로그램,트러블 결케어,,1시간,60,88000,"₩88,000",0,Y,전체
7,IM 윤곽라인,주 프로그램,얼굴축소 작은얼굴 윤곽케어,,1시간 10분,70,110000,"₩110,000",0,Y,전체
8,IM 윤곽라인,주 프로그램,볼륨업 입체동안 윤곽케어,,1시간 20분,80,132000,"₩132,000",0,Y,전체
9,IM 윤곽라인,주 프로그램,얼굴비대칭 균형얼굴 윤곽케어,,1시간 30분,90,165000,"₩165,000",0,Y,전체
10,IM 탄력라인,주 프로그램,진피재생 스피큘케어,,1시간 20분,80,165000,"₩165,000",0,Y,전체
11,IM 탄력라인,주 프로그램,진피재생 MTS케어,,1시간 20분,80,165000,"₩165,000",0,Y,전체
12,IM 탄력라인,주 프로그램,모공 리프팅케어,,1시간 20분,80,165000,"₩165,000",0,Y,전체
13,IM 탄력라인,주 프로그램,주름 리프팅케어,,1시간 20분,80,165000,"₩165,000",0,Y,전체
14,IM 개선라인,주 프로그램,"등, 팔 여드름 개선케어",책임제 관리 / 5회 / 제품증정(슬림 클렌저),1시간 20분,80,800000,"₩800,000",0,Y,전체
15,IM 개선라인,주 프로그램,코르셋 리프팅케어,책임제 관리 / 5회,1시간 20분,80,1100000,"₩1,100,000",0,Y,전체
16,IM 개선라인,주 프로그램,환골탈태 케어,책임제 관리 / 5회,1시간 20분,80,1100000,"₩1,100,000",0,Y,전체
17,IM 개선라인,주 프로그램,요철개선 케어,책임제 관리 / 8회,1시간 20분,80,1500000,"₩1,500,000",0,Y,전체
18,IM 개선라인,주 프로그램,색소개선 케어,책임제 관리 / 10회 / 제품증정,1시간 20분,80,2000000,"₩2,000,000",0,Y,전체
19,IM 개선라인,주 프로그램,극예민 열감 개선케어,책임제 관리 / 15회 / 제품증정,1시간 20분,80,2000000,"₩2,000,000",0,Y,전체
20,IM 개선라인,주 프로그램,붉은 여드름 개선케어,책임제 관리 / 15회 / 제품증정,1시간 20분,80,2000000,"₩2,000,000",0,Y,전체
21,IM 순환라인,주 프로그램,복부+하체전면 A,"순환관리 기계위주 (2가지) / 121,000원",1시간,60,99000,"₩99,000",0,Y,전체
22,IM 순환라인,주 프로그램,등+하체후면 A,"순환관리 기계위주 (2가지) / 121,000원",1시간,60,99000,"₩99,000",0,Y,전체
23,IM 순환라인,주 프로그램,상체 A,"기기 1개 / 수기 / 121,000원",1시간,60,99000,"₩99,000",0,Y,전체
24,IM 순환라인,주 프로그램,하체 A,"기기 1개 / 수기 / 121,000원",1시간,60,99000,"₩99,000",0,Y,전체
25,IM 순환라인,주 프로그램,순환 전신 관리,"165,000원",1시간 20분,80,143000,"₩143,000",0,Y,전체
26,IM 쏙쏙라인,주 프로그램,등+하체후면 B,"165,000원",1시간 20분,80,143000,"₩143,000",0,Y,전체
27,IM 쏙쏙라인,주 프로그램,복부+하체전면 B,"165,000원",1시간 20분,80,143000,"₩143,000",0,Y,전체
28,IM 쏙쏙라인,주 프로그램,상체 B,"165,000원",1시간 20분,80,143000,"₩143,000",0,Y,전체
29,IM 쏙쏙라인,주 프로그램,하체 B,"165,000원",1시간 20분,80,143000,"₩143,000",0,Y,전체
30,IM 쏙쏙라인,주 프로그램,전신관리 B,"264,000원",2시간,120,220000,"₩220,000",0,Y,전체
31,IM 체형라인,주 프로그램,"체형 맞춤케어 C (거북목, 라운드숄더, 목어깨팔)",,1시간,60,132000,"₩132,000",0,Y,전체
